t,cmd,id,pos_deg,spd_erpm,spd_deg_s,cur_a,temp_c,err
0.5402,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,20.9,2020,64.13,-0.04,32,0
0.5613,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,22.1,2020,64.13,0.41,32,0
0.5805,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,23.4,2010,63.81,0.36,32,0
0.6005,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,24.7,2010,63.81,-0.09,32,0
0.6224,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,26.0,2010,63.81,0.41,32,0
0.6414,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,27.3,2020,64.13,0.37,32,0
0.6609,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,28.6,2020,64.13,-0.05,32,0
0.6808,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,29.8,2010,63.81,0.39,32,0
0.7019,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,31.1,2000,63.49,0.40,32,0
0.7211,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,32.4,1990,63.17,0.01,32,0
0.7403,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,33.6,2000,63.49,0.37,32,0
0.7601,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,34.9,1990,63.17,0.40,32,0
0.7823,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,36.2,1990,63.17,-0.01,32,0
0.8028,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,37.4,2010,63.81,0.36,32,0
0.8224,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,38.7,1990,63.17,0.41,32,0
0.8407,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,40.0,1990,63.17,-0.03,32,0
0.8604,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,41.2,1990,63.17,0.39,32,0
0.8801,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,42.5,1990,63.17,0.41,32,0
0.9023,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,43.8,2000,63.49,-0.05,32,0
0.9216,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,45.1,2010,63.81,0.40,32,0
0.9415,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,46.3,2010,63.81,0.40,32,0
0.9605,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,47.6,2000,63.49,0.01,32,0
0.9804,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,48.9,2000,63.49,0.36,32,0
1.0000,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,50.2,1990,63.17,0.39,32,0
1.0219,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,51.4,1990,63.17,0.10,32,0
1.0415,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,52.7,2000,63.49,0.32,32,0
1.0616,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,54.0,1990,63.17,0.39,32,0
1.0812,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,55.2,1990,63.17,0.01,32,0
1.1004,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,56.5,2000,63.49,0.37,32,0
1.1203,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,57.8,1990,63.17,0.38,32,0
1.1418,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,59.0,1990,63.17,0.00,32,0
1.1606,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,60.3,1990,63.17,0.38,32,0
1.1822,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,61.6,1990,63.17,0.38,32,0
1.2022,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,62.8,2000,63.49,-0.04,32,0
1.2225,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,64.1,2010,63.81,0.39,32,0
1.2411,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,65.4,2000,63.49,0.40,32,0
1.2615,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,66.7,2000,63.49,0.00,32,0
1.2807,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,67.9,2000,63.49,0.40,32,0
1.3020,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,69.2,1990,63.17,0.38,32,0
1.3224,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,70.5,1990,63.17,-0.01,32,0
1.3411,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,71.7,2000,63.49,0.34,32,0
1.3621,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,73.0,2000,63.49,0.40,32,0
1.3801,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,74.3,1990,63.17,0.02,32,0
1.4019,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,75.5,1990,63.17,0.39,32,0
1.4213,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,76.8,1980,62.86,0.45,32,0
1.4425,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,78.1,1960,62.22,-0.09,32,0
1.4621,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,79.3,1880,59.68,0.52,32,0
1.4829,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,80.4,1790,56.83,0.21,33,0
1.5028,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,81.5,1700,53.97,0.09,33,0
1.5226,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,82.5,1600,50.79,0.48,33,0
1.5403,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,83.5,1490,47.30,0.02,33,0
1.5615,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,84.4,1380,43.81,0.39,32,0
1.5825,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,85.2,1300,41.27,0.21,33,0
1.6006,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,86.0,1210,38.41,0.01,32,0
1.6213,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,86.7,1070,33.97,0.54,32,0
1.6410,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,87.4,980,31.11,-0.01,32,0
1.6621,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,87.9,890,28.25,0.05,32,0
1.6814,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,88.4,810,25.71,0.50,32,0
1.7012,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,88.9,690,21.90,0.33,32,0
1.7203,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.2,540,17.14,0.05,32,0
1.7403,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.5,420,13.33,0.10,32,0
1.7608,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.8,410,13.02,-0.02,32,0
1.7824,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,90,2.86,0.57,32,0
1.8013,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.0,120,3.81,0.49,32,0
1.8204,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.0,40,1.27,0.47,32,0
1.8420,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,110,3.49,0.21,32,0
1.8606,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.37,32,0
1.8812,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.31,32,0
1.9015,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.28,32,0
1.9223,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.26,32,0
1.9418,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.18,32,0
1.9624,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.11,32,0
1.9810,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,-0.07,32,0
2.0028,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.00,32,0
2.0210,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.05,32,0
2.0407,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.10,32,0
2.0607,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.11,32,0
2.0821,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.15,32,0
2.1021,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.24,32,0
2.1229,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.26,32,0
2.1415,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,0,0.00,0.32,32,0
2.1623,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,-10,-0.32,0.33,32,0
2.1807,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.1,-10,-0.32,0.33,32,0
2.2023,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.0,-130,-4.13,0.03,32,0
2.2215,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,90.0,-30,-0.95,0.20,32,0
2.2418,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.2621,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.2814,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.27,32,0
2.3013,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.3219,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.27,32,0
2.3404,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.3604,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.27,32,0
2.3821,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.4016,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.4204,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.27,32,0
2.4414,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.4606,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.4818,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.5022,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.5203,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.5412,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.5609,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.5801,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.6013,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.6204,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.6403,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.6608,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.6817,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.7012,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.26,32,0
2.7207,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.7403,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.23,32,0
2.7606,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.7815,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.8004,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.8220,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.8420,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.8620,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.23,32,0
2.8818,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.9015,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.9212,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.24,32,0
2.9432,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,32,0
2.9605,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.25,33,0
2.9800,位置-速度 90.0 deg (最高2000 ERPM, 加速5000),43,89.9,0,0.00,0.23,32,0
